----------Calculation 1: 101001010111 * 101000101----------
Step 0000: State=90, Head=0, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0001: State=90, Head=1, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0002: State=90, Head=2, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0003: State=90, Head=3, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0004: State=90, Head=4, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0005: State=90, Head=5, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0006: State=90, Head=6, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0007: State=90, Head=7, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0008: State=90, Head=8, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0009: State=90, Head=9, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0010: State=90, Head=10, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0011: State=90, Head=11, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0012: State=90, Head=12, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0013: State=90, Head=13, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0014: State=90, Head=14, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0015: State=90, Head=15, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0016: State=90, Head=16, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0017: State=90, Head=17, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0018: State=90, Head=18, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0019: State=90, Head=19, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0020: State=90, Head=20, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0021: State=90, Head=21, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0022: State=90, Head=22, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0023: State=90, Head=23, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0024: State=90, Head=24, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0025: State=90, Head=25, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0026: State=90, Head=26, Tape=BBBBBBBBBBBBBB101001010111#101000101$BBBBBBBBBBBBBBBBBBB
Step 0027: State=90, Head=27, Tape=BBBBBBBBBBBBBB101001010111B101000101$BBBBBBBBBBBBBBBBBBB
Step 0028: State=90, Head=28, Tape=BBBBBBBBBBBBBB101001010111B101000101$BBBBBBBBBBBBBBBBBBB
Step 0029: State=90, Head=29, Tape=BBBBBBBBBBBBBB101001010111B101000101$BBBBBBBBBBBBBBBBBBB
